title,info,km,year,color,brand,motor,Chassis,body,ensurance,gearbox,sale,description,link,FrontChassis,backChassis,price,expo,fair
پراید 131 LE، مدل ۱۳۹۲,دقایقی پیش در تبریز | سواری و وانت,۲۰۰٬۰۰۰,۱۳۹۲,سفید,پراید 131 LE,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,دنده‌ای,نقدی,مدل آخر ۹۲ .گاز مایع مخزن ۸۰ کیلویی صفر .,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-131-le-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B2_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYvuEVwX,,,,,
پراید دوگانه مدل ۸۴,یک ربع پیش در تبریز | سواری و وانت,۹۹٬۹۹۹,۱۳۸۴,سرمه‌ای,پراید صندوق‌دار CNG,سالم,سالم و پلمپ,دوررنگ,۹ ماه,دنده‌ای,نقدی,"باسلام
دوگانه
بیمه ۹ ماه
موتور تعمیر اساسی شده 
به شرط کارشناسی
سوزن ها نو همراه با ریل سوزن
کمک های جلو پیچی
کمک های عقب پرس نو
باتری نو
شمع وایر نو 
رادیاتور نو
گیربکس تازه تعمیر
صفحه دیسک نو
ژیگلاتور گاز نو 
روکش _شیشه ها دودی
لاستیک ۷۰ درصد
ماشین واقعا خوبه به دلیل نیاز مالی میفروشم

تخفیف پای معامله",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%AF%D9%88%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DB%B8%DB%B4_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYvu0Nm_,,,,,
پراید صندوق‌دار بنزینی، مدل ۱۳۸۱,یک ربع پیش در تبریز | سواری و وانت,۱۲۰,۱۳۸۱,نوک‌مدادی,پراید صندوق‌دار بنزینی,سالم,,دوررنگ,۴ ماه,دنده‌ای,,فن موتورسالم به شرط گیربکس سالم دوگانه سی انجی بیمه ماینه فنی 4ماه کمک ها نو طایر جلو70عقب 95خودم خریدم 4حلقه طایرفقط دوربرماشین رنگ میخواهد,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-%D8%A8%D9%86%D8%B2%DB%8C%D9%86%DB%8C-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B1_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYvqUGP1,ضربه‌خورده,سالم و پلمپ,,,
خودرو پراید ۱۳۱ SE مدل ۹۷,یک ربع پیش در تبریز | سواری و وانت,۳۵٬۰۰۰,۱۳۹۷,سفید,پراید 131 SE,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی,خودرو کاملا سالم ‌بدون خط و حس و در حد صفر می‌باشد.,https://divar.ir/v/%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%DB%B1%DB%B3%DB%B1-se-%D9%85%D8%AF%D9%84-%DB%B9%DB%B7_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYvmk5hA,,,,,
سمند LX ساده، مدل ۱۳۹۰,یک ربع پیش در تبریز | سواری و وانت,۱۵۵٬۰۰۰,۱۳۹۰,خاکستری,سمند LX ساده,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,دنده‌ای,نقدی,"سمند ال ایکس از اول تک سوز
مدل ۹۰ به رنگ خاکستری ماشین در حد
کارکرد پایین فنی سالم جلو عقب همه چی سالم
سه تیکه رنگ فنی در حد
بیمه نه ماه بدون خرج بدون آفتاب سوختگی
قابل معاوضه با پراید و پژو تر و تمیز مثل ماشین خودم
لطفاً با کارشناستون تشریف بیارین ممنون",https://divar.ir/v/%D8%B3%D9%85%D9%86%D8%AF-lx-%D8%B3%D8%A7%D8%AF%D9%87-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B0_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYqmehoq,,,,,
پراید صندوق‌دار CNG، مدل ۱۳۸۳,یک ربع پیش در تبریز | سواری و وانت,۵۲٬۶۵۰,۱۳۸۳,سفید صدفی,پراید صندوق‌دار CNG,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,,سلام پراید ۸۳ سفید جلو عقب سالمه فنی سالم تمام انژکتوری اتاق کیپ دوگانه سی انجی آتمش بر معاوضه با پراید ۸۱ یا ۸۲ سفید رنگ جلو عقب سالمه باشه روش میگیرم پولش لازمه خریدار واقعی زنگ بزنه وقت همو نگیریم ممنون از دیوار باکار شناستون تشریف بیایید ماشین جایی برده نمیشه,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D9%86%D8%AF%D9%88%D9%82-%D8%AF%D8%A7%D8%B1-cng-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B3_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYrS0qxr,,,۶۱٬۰۰۰٬۰۰۰ تومان,,
پراید 111 SX، مدل ۱۳۹۰,یک ربع پیش در تبریز | سواری و وانت,۲۶۰٬۰۰۰,۱۳۹۰,سفید,پراید 111 SX,سالم,سالم و پلمپ,رنگ‌شدگی، در چند ناحیه,۵ ماه,دنده‌ای,نقدی,"فنی عالی
گیربکس سالم
صفحه تازه
چهار عدد کمک نو روش هست
لاستیک ها 80%
ضبط فلش خور و سی دی خور
روکش های نو
دارای دزدگیر 

یوز اون، فقط به مصرف کننده فروخته می‌شود.",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-111-sx-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B0_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYvikDX7,,,,,
پراید 131 SE، مدل ۱۳۹۸,نیم ساعت پیش در تبریز | سواری و وانت,۶۴٬۰۰۰,۱۳۹۸,سفید,پراید 131 SE,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی,سلام پراید se تمام فول بدون رنگ ۴ماه بیمه زاپاس زیرش نرفته,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-131-se-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B8_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYvaUlHX,,,,,
پراید 131 EX، مدل ۱۳۹۶,نیم ساعت پیش در تبریز | سواری و وانت,۱۲۵٬۰۰۰,۱۳۹۶,سفید,پراید 131 دوگانه سوز,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی,"پراید ۱۳۱ فول کامل یورو ۴ دوگانه سوز
بدون رنگ کاملا 
روکش و کفپوش 
ضبط و دزگیر
بیمه بدنه و شخص ثالث
تایر ها یک هفته اس انداختم 
تسمه تایم و شمع ولنت و وایر و روغن موتور تازه عوض شده
فنی عالی
معاوضه با ۲۰۶ ۸۸الی ۹۲",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-131-ex-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B6_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYvaEgGU,,,,,
پراید 131 EX، مدل ۱۳۸۸,نیم ساعت پیش در تبریز | سواری و وانت,۲۵۰٬۰۰۰,۱۳۹۰,نقره‌ای,پراید 131 EX,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی و قسطی,"ماشین مدل 88
گاز کارخانه.
فنی سالم سالم در حد صفر.
بیمه ۴ ماه.
ضبط و باند دارد.
جلو و عقب و سقف و ستون بیرنگ.",https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-131-ex-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B8%DB%B8_%D8%B3%D9%88%D8%A7%D8%B1%DB%8C-%D9%88-%D9%88%D8%A7%D9%86%D8%AA_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2__%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYvW0C_z,,,,,
